line	path	methods	auth
5017	/lol-matches	GET/ANY	NONE
5099	/lol-slugs	GET/ANY	NONE
5109	/lol-raw	GET/ANY	GLOBAL_GATE_ANY
5146	/live-gameids	GET/ANY	NONE
5225	/ps-compositions	GET/ANY	NONE
5320	/debug-livestats	GET/ANY	NONE
5364	/opendota-live	GET/ANY	NONE
5728	/ps-dota-live	GET/ANY	NONE
5797	/live-game	GET/ANY	NONE
6003	/odds-markets	GET/ANY	NONE
6155	/player-props-debug	GET/ANY	NONE
6326	/odds	GET/ANY	NONE
6647	/sx-status	GET/ANY	NONE
6673	/debug-odds	GET/ANY	GLOBAL_GATE_ANY
6709	/dota-matches	GET/ANY	NONE
6829	/dota-map-result	GET/ANY	NONE
6860	/cs-matches	GET/ANY	NONE
6952	/valorant-matches	GET/ANY	NONE
7045	/live-snapshot	GET/ANY	NONE
7344	/debug-vlr	GET/ANY	NONE
7367	/upcoming-snapshot	GET/ANY	NONE
7452	/debug-teams	GET/ANY	GLOBAL_GATE_ANY
7483	/debug-match-odds	GET/ANY	GLOBAL_GATE_ANY
7540	/debug-map-odds	GET/ANY	NONE
7616	/handicap-odds	GET/ANY	NONE
7682	/mma-odds	GET/ANY	NONE
7724	/admin/login	POST	NONE
7771	/admin/logout	POST	NONE
7784	/admin/me	GET	NONE
7798	/health	GET/ANY	NONE
7798	/alerts	GET/ANY	NONE
7808	/alerts	GET/ANY	NONE
8071	/alerts	GET/ANY	NONE
8157	/metrics-lite	GET/ANY	NONE
8165	/health/metrics.html	GET/ANY	NONE
8165	/metrics.html	GET/ANY	NONE
8277	/metrics/ingest	POST	ADMIN_HEADER_ONLY
8310	/health/metrics	GET/ANY	NONE
8310	/metrics	GET/ANY	NONE
8362	/record-analysis	POST	GLOBAL_GATE_POST
8368	/match-result	GET/ANY	NONE
8399	/ps-result	GET/ANY	NONE
8459	/dota-result	GET/ANY	NONE
8668	/cs-result	GET/ANY	NONE
8683	/valorant-result	GET/ANY	NONE
8699	/darts-result	GET/ANY	NONE
8720	/snooker-result	GET/ANY	NONE
8793	/football-result	GET/ANY	NONE
8898	/basket-matches	GET/ANY	NONE
8974	/admin/basket-resettle-audit	GET/ANY	REQUIRE_ADMIN
9133	/basket-result	GET/ANY	NONE
9236	/basket-elo	GET/ANY	NONE
9247	/basket-trained	GET/ANY	NONE
9267	/basket-trained-markets	GET/ANY	NONE
9283	/admin/basket-elo-list	GET/ANY	ADMIN_HEADER_OR_QUERY
9312	/admin/basket-elo-reset	POST,GET	ADMIN_HEADER_OR_QUERY
9329	/admin/basket-seed	POST,GET	ADMIN_HEADER_OR_QUERY
9411	/admin/basket-train	POST,GET	ADMIN_HEADER_OR_QUERY
9561	/admin/basket-train-status	GET/ANY	ADMIN_HEADER_OR_QUERY
9576	/sync-basket-espn	GET/ANY	ADMIN_HEADER_OR_QUERY
9618	/tennis-elo	GET/ANY	NONE
9635	/football-elo	GET/ANY	NONE
9652	/users	GET/ANY	NONE
9659	/save-user	POST	GLOBAL_GATE_POST
9718	/shadow-tips	GET/ANY	NONE
9785	/unsettled-tips	GET/ANY	NONE
9804	/admin/tennis-sources-diag	GET/ANY	ADMIN_HEADER_OR_QUERY
9867	/admin/football-settle-diag	GET/ANY	ADMIN_HEADER_OR_QUERY
9953	/admin/football-sync-diag	GET/ANY	ADMIN_HEADER_OR_QUERY
10073	/admin/alias-audit	GET/ANY	ADMIN_HEADER_OR_QUERY
10157	/admin/tip-audit	GET/ANY	ADMIN_HEADER_OR_QUERY
10235	/admin/zombie-scan	GET/ANY	ADMIN_HEADER_OR_QUERY
10334	/admin/tennis-tip-match-debug	GET/ANY	ADMIN_HEADER_OR_QUERY
10450	/admin/tennis-stuck-bulk-diag	GET/ANY	ADMIN_HEADER_OR_QUERY
10549	/admin/tennis-player-stats-debug	GET/ANY	ADMIN_HEADER_OR_QUERY
10581	/admin/tennis-force-settle-tip	GET/ANY	ADMIN_HEADER_OR_QUERY
10652	/admin/tennis-mt-force-settle-tip	GET/ANY	REQUIRE_ADMIN
10749	/tennis-settle-debug	GET/ANY	NONE
10826	/cashout-alerts	GET/ANY	REQUIRE_ADMIN
10889	/reopen-tip	POST	GLOBAL_GATE_POST
10945	/settle-manual	POST	GLOBAL_GATE_POST
11010	/void-tip	GET/ANY	NONE
11051	/admin/reanalyze-void	POST	REQUIRE_ADMIN
11096	/market-tips-recent	GET/ANY	NONE
11262	/market-tips-by-sport	GET/ANY	NONE
11456	/market-tips-breakdown	GET/ANY	NONE
11547	/market-tips-by-league	GET/ANY	NONE
11629	/admin/repair-market-tips-dedup	POST	REQUIRE_ADMIN
11672	/admin/purge-voided-market-tips	POST	REQUIRE_ADMIN
11688	/admin/settle-market-tips-shadow	POST,GET	ADMIN_HEADER_OR_QUERY
11706	/admin/sync-hltv-results	POST,GET	ADMIN_HEADER_OR_QUERY
11727	/admin/sync-cs-per-map-rounds	POST,GET	ADMIN_HEADER_OR_QUERY
11745	/admin/pinnacle-auto-bet-status	GET	ADMIN_HEADER_OR_QUERY
11833	/admin/pinnacle-bet-confirm	POST	ADMIN_HEADER_OR_QUERY
11857	/admin/cs-permap-manual	POST,GET	ADMIN_HEADER_OR_QUERY
11934	/admin/sync-valorant-per-map-rounds	POST,GET	ADMIN_HEADER_OR_QUERY
11953	/admin/settle-mt-shadow-kills-manual	POST,GET	ADMIN_HEADER_OR_QUERY
12000	/admin/settle-mt-shadow-kills	POST,GET	ADMIN_HEADER_OR_QUERY
12322	/admin/boot-diag	GET,POST	ADMIN_HEADER_OR_QUERY
